B,G,R,class
52,55,16,normal
152,151,95,normal
2,0,8,normal
89,87,33,normal
199,197,162,normal
50,51,12,normal
1,0,165,normal
38,24,160,normal
77,83,130,anomaly
125,173,37,normal
182,180,132,normal
180,180,140,normal
64,62,21,normal
121,159,213,anomaly
141,181,246,anomaly
20,17,2,normal
167,168,118,normal
162,161,110,normal
173,169,121,normal
91,196,235,normal
153,150,99,normal
72,71,27,normal
64,64,28,normal
204,202,167,normal
53,53,17,normal
80,83,34,normal
142,181,225,anomaly
230,230,224,normal
121,156,222,anomaly
52,56,21,normal
53,57,22,normal
52,53,19,normal
55,23,234,normal
143,142,86,normal
54,54,54,normal
180,177,132,normal
182,177,138,normal
160,163,124,normal
140,138,84,normal
186,185,141,normal
200,198,163,normal
137,113,95,normal
199,197,163,normal
153,156,111,normal
50,50,14,normal
157,161,125,normal
171,172,133,normal
165,163,115,normal
95,202,199,normal
178,176,128,normal
179,177,129,normal
199,197,163,normal
200,200,160,normal
191,189,148,normal
37,35,5,normal
129,169,221,anomaly
144,170,237,anomaly
169,185,228,anomaly
182,179,135,normal
164,162,114,normal
175,176,132,normal
131,163,229,anomaly
52,56,21,normal
167,166,115,normal
4,9,166,normal
200,198,164,normal
80,89,127,anomaly
172,169,131,normal
182,178,137,normal
106,108,62,normal
113,144,213,anomaly
175,173,125,normal
201,200,162,normal
175,191,233,anomaly
183,180,135,normal
89,87,33,normal
230,126,161,normal
85,138,219,anomaly
53,57,22,normal
52,54,24,normal
162,162,114,normal
166,166,160,normal
162,160,112,normal
199,197,162,normal
90,68,247,normal
121,161,219,anomaly
115,116,66,normal
168,184,230,anomaly
194,195,156,normal
163,162,112,normal
139,139,85,normal
165,163,115,normal
61,62,20,normal
52,56,20,normal
94,128,194,anomaly
66,68,26,normal
53,57,22,normal
156,160,125,normal
105,104,46,normal
58,57,43,normal
177,196,233,anomaly
73,83,123,anomaly
20,17,2,normal
178,175,131,normal
0,0,182,normal
122,154,219,anomaly
34,34,20,normal
62,63,21,normal
197,207,254,anomaly
54,55,21,normal
155,162,125,normal
244,239,240,normal
183,181,133,normal
196,194,160,normal
91,133,210,anomaly
49,169,91,normal
202,201,163,normal
129,132,87,normal
112,111,53,normal
189,186,148,normal
168,163,114,normal
166,163,118,normal
181,175,128,normal
52,112,255,normal
54,58,22,normal
99,146,227,anomaly
45,95,148,anomaly
156,157,107,normal
152,190,225,anomaly
0,0,255,normal
75,77,31,normal
68,69,25,normal
123,125,179,anomaly
164,163,113,normal
201,200,162,normal
149,187,251,anomaly
232,193,85,normal
202,200,165,normal
71,84,122,anomaly
60,74,133,anomaly
248,250,250,normal
51,93,140,anomaly
136,139,90,normal
156,167,229,anomaly
36,32,8,normal
54,105,168,anomaly
180,168,120,normal
44,152,46,normal
119,120,70,normal
186,186,146,normal
152,174,232,anomaly
138,138,92,normal
180,176,187,normal
170,169,119,normal
165,164,114,normal
135,135,87,normal
130,136,243,normal
186,167,134,normal
175,172,127,normal
64,65,23,normal
38,12,150,normal
147,150,101,normal
117,157,205,anomaly
75,111,175,anomaly
132,168,216,anomaly
207,218,255,anomaly
204,203,169,normal
43,40,32,normal
99,136,188,anomaly
129,130,90,normal
170,168,120,normal
68,54,26,normal
183,181,133,normal
178,175,131,normal
178,175,130,normal
105,104,106,normal
85,120,188,anomaly
13,11,11,normal
153,157,121,normal
199,197,162,normal
179,176,132,normal
65,111,175,anomaly
167,166,116,normal
49,96,152,anomaly
177,174,129,normal
51,97,144,anomaly
164,162,114,normal
182,179,135,normal
126,126,126,normal
72,78,123,anomaly
167,166,116,normal
92,139,221,anomaly
176,175,131,normal
231,218,210,normal
81,87,128,anomaly
181,181,135,normal
94,95,63,normal
199,197,162,normal
108,107,49,normal
56,60,24,normal
178,178,132,normal
174,173,123,normal
165,163,115,normal
177,173,124,normal
172,172,126,normal
197,196,158,normal
202,198,157,normal
10,186,251,normal
20,15,6,normal
199,197,162,normal
16,7,188,normal
174,172,124,normal
125,122,71,normal
177,174,129,normal
167,163,115,normal
152,187,251,anomaly
104,105,49,normal
185,182,137,normal
114,114,66,normal
199,197,163,normal
178,175,131,normal
179,177,129,normal
128,130,84,normal
70,72,26,normal
201,199,164,normal
139,142,93,normal
20,17,2,normal
182,179,135,normal
115,118,173,anomaly
160,196,255,anomaly
188,188,142,normal
104,146,205,anomaly
14,15,19,normal
52,53,19,normal
194,193,155,normal
40,0,144,normal
196,194,160,normal
0,128,0,normal
179,176,132,normal
58,85,219,normal
181,179,138,normal
172,171,121,normal
131,129,75,normal
163,162,112,normal
87,90,35,normal
201,200,162,normal
75,76,32,normal
85,85,37,normal
76,81,36,normal
202,201,163,normal
181,181,133,normal
157,194,254,anomaly
187,186,142,normal
67,71,30,normal
57,167,143,normal
53,57,22,normal
172,171,121,normal
255,255,249,normal
0,0,0,normal
112,220,244,normal
160,179,236,anomaly
251,253,254,normal
203,211,255,anomaly
54,53,15,normal
126,128,182,anomaly
105,208,203,normal
52,53,13,normal
196,196,156,normal
199,198,160,normal
195,193,163,normal
33,34,8,normal
138,139,95,normal
35,161,85,normal
179,180,138,normal
82,82,28,normal
57,55,15,normal
165,179,231,anomaly
117,156,225,anomaly
73,74,32,normal
139,139,85,normal
96,147,220,anomaly
187,179,180,normal
144,147,98,normal
156,194,255,anomaly
2,1,5,normal
180,179,135,normal
179,178,134,normal
172,168,119,normal
122,147,197,anomaly
27,203,250,normal
135,137,95,normal
203,203,167,normal
3,1,1,normal
187,185,144,normal
236,221,218,normal
18,24,19,normal
5,4,6,normal
6,7,0,normal
159,163,127,normal
165,164,114,normal
45,15,218,normal
35,34,8,normal
231,241,248,normal
193,191,156,normal
156,160,125,normal
179,176,131,normal
134,135,101,normal
88,85,34,normal
160,168,121,normal
47,47,33,normal
132,131,73,normal
253,253,183,normal
176,172,123,normal
130,146,175,anomaly
174,173,123,normal
198,196,161,normal
182,179,135,normal
202,200,165,normal
132,174,221,anomaly
74,77,28,normal
45,75,130,anomaly
117,118,122,normal
173,172,122,normal
175,173,125,normal
59,62,23,normal
129,133,186,anomaly
60,55,57,normal
191,192,150,normal
181,178,134,normal
95,176,97,normal
144,153,217,anomaly
184,181,136,normal
115,111,63,normal
136,139,90,normal
56,97,146,anomaly
180,180,132,normal
149,172,228,anomaly
163,164,120,normal
193,191,156,normal
170,168,120,normal
88,136,202,anomaly
172,171,121,normal
193,191,150,normal
78,77,51,normal
0,130,105,normal
197,196,158,normal
29,69,51,normal
187,183,135,normal
157,158,118,normal
174,172,124,normal
2,1,0,normal
179,176,132,normal
161,184,230,anomaly
186,185,141,normal
138,140,88,normal
140,143,97,normal
184,182,134,normal
205,204,170,normal
207,218,255,anomaly
36,35,9,normal
49,51,22,normal
153,152,94,normal
40,61,46,normal
139,142,93,normal
62,66,24,normal
181,178,134,normal
138,140,104,normal
109,227,252,normal
4,0,72,normal
186,184,143,normal
153,171,218,anomaly
146,149,94,normal
54,55,21,normal
121,140,197,anomaly
193,192,154,normal
145,194,118,normal
197,195,160,normal
104,141,203,anomaly
137,160,222,anomaly
166,163,112,normal
154,160,119,normal
179,177,129,normal
194,193,155,normal
201,199,159,normal
146,190,249,anomaly
90,125,193,anomaly
199,197,162,normal
186,174,132,normal
186,183,138,normal
66,117,180,anomaly
0,3,181,normal
183,184,142,normal
69,71,25,normal
191,190,152,normal
178,178,132,normal
140,137,86,normal
172,171,121,normal
179,178,134,normal
49,56,19,normal
122,125,180,anomaly
210,194,182,normal
223,223,223,normal
178,176,128,normal
173,172,122,normal
161,162,123,normal
7,7,7,normal
20,51,20,normal
137,137,97,normal
94,68,245,normal
172,140,99,normal
163,162,112,normal
183,86,106,normal
159,158,102,normal
160,162,126,normal
201,199,164,normal
4,3,0,normal
214,227,229,normal
173,173,127,normal
196,195,157,normal
161,165,130,normal
205,215,255,anomaly
79,87,127,anomaly
119,118,62,normal
1,0,2,normal
148,182,235,anomaly
132,133,99,normal
69,134,202,anomaly
103,144,223,anomaly
193,193,153,normal
178,176,128,normal
137,140,85,normal
158,155,104,normal
0,1,181,normal
34,36,6,normal
191,189,148,normal
120,171,234,anomaly
0,128,0,normal
53,57,22,normal
180,177,133,normal
62,127,196,anomaly
119,121,175,anomaly
163,162,112,normal
158,173,116,normal
50,57,20,normal
181,178,134,normal
56,54,19,normal
182,179,135,normal
255,255,252,normal
62,124,194,anomaly
99,143,197,anomaly
3,2,0,normal
90,90,42,normal
198,197,159,normal
69,71,52,normal
110,60,38,normal
119,152,215,anomaly
134,136,94,normal
50,44,233,normal
128,255,0,normal
44,46,34,normal
41,113,255,normal
82,33,11,normal
251,220,217,normal
52,56,21,normal
4,5,0,normal
157,161,120,normal
157,160,114,normal
155,176,24,normal
95,139,216,anomaly
169,174,183,normal
37,36,10,normal
158,160,118,normal
115,159,218,anomaly
164,168,133,normal
130,168,222,anomaly
199,198,160,normal
158,162,127,normal
54,104,157,anomaly
152,155,106,normal
147,160,228,anomaly
143,146,121,normal
136,162,228,anomaly
163,162,112,normal
179,177,129,normal
17,29,11,normal
2,0,0,normal
178,175,131,normal
107,149,216,anomaly
167,163,114,normal
10,17,12,normal
52,94,141,anomaly
149,147,89,normal
69,69,33,normal
98,110,158,anomaly
176,174,126,normal
25,12,150,normal
42,43,4,normal
6,5,1,normal
159,65,160,normal
172,188,235,anomaly
173,180,123,normal
55,102,158,anomaly
52,103,166,anomaly
164,178,230,anomaly
49,110,255,normal
81,89,129,anomaly
155,152,108,normal
182,196,249,anomaly
96,145,215,anomaly
138,140,88,normal
57,59,23,normal
136,142,89,normal
89,92,46,normal
223,223,223,normal
141,138,87,normal
178,175,131,normal
171,170,120,normal
51,52,18,normal
118,117,59,normal
178,176,128,normal
171,170,120,normal
172,171,121,normal
157,186,230,anomaly
57,59,23,normal
55,104,172,anomaly
183,178,133,normal
123,124,92,normal
179,176,131,normal
137,136,86,normal
202,201,163,normal
134,77,98,normal
192,192,152,normal
42,47,234,normal
159,171,119,normal
224,219,220,normal
190,188,147,normal
106,106,58,normal
157,161,126,normal
197,196,158,normal
57,59,23,normal
130,128,98,normal
132,136,101,normal
89,88,30,normal
130,130,130,normal
128,161,230,anomaly
153,155,109,normal
174,172,124,normal
72,119,171,anomaly
166,181,230,anomaly
48,15,236,normal
197,196,162,normal
104,123,168,anomaly
111,151,209,anomaly
182,178,137,normal
161,164,125,normal
64,68,19,normal
89,124,188,anomaly
45,47,5,normal
109,150,213,anomaly
198,196,162,normal
138,171,220,anomaly
118,220,215,normal
172,133,27,normal
79,87,127,anomaly
90,85,146,normal
124,157,206,anomaly
77,48,197,normal
90,65,247,normal
53,53,17,normal
172,169,124,normal
94,96,44,normal
169,185,238,anomaly
181,181,135,normal
0,0,255,normal
139,141,82,normal
139,138,82,normal
143,176,239,anomaly
182,179,135,normal
94,28,17,normal
106,105,47,normal
193,192,154,normal
158,89,162,normal
140,139,81,normal
136,139,90,normal
4,0,72,normal
26,23,8,normal
157,162,123,normal
67,69,27,normal
58,100,75,normal
177,174,129,normal
177,175,127,normal
120,158,212,anomaly
146,146,92,normal
239,224,228,normal
32,33,7,normal
225,212,82,normal
162,176,225,anomaly
193,192,154,normal
76,123,175,anomaly
166,167,128,normal
0,2,177,normal
45,21,205,normal
205,188,179,normal
2,3,1,normal
153,189,253,anomaly
86,130,194,anomaly
159,162,123,normal
150,188,252,anomaly
136,134,93,normal
92,142,224,anomaly
173,172,122,normal
70,83,121,anomaly
199,197,162,normal
151,225,237,normal
170,169,119,normal
108,109,59,normal
196,194,159,normal
0,1,2,normal
152,133,106,normal
149,149,101,normal
34,36,6,normal
195,195,155,normal
176,176,122,normal
56,55,17,normal
129,133,91,normal
153,159,124,normal
89,67,246,normal
145,144,88,normal
176,176,130,normal
154,158,117,normal
57,60,34,normal
3,1,1,normal
188,186,146,normal
34,36,7,normal
199,197,163,normal
181,181,133,normal
179,180,138,normal
186,184,144,normal
163,162,111,normal
150,194,248,anomaly
13,84,64,normal
4,2,1,normal
55,59,23,normal
61,64,19,normal
53,57,32,normal
101,98,43,normal
61,66,27,normal
97,149,220,anomaly
188,187,136,normal
116,151,217,anomaly
139,142,93,normal
128,162,221,anomaly
4,2,2,normal
81,53,213,normal
157,195,253,anomaly
176,175,125,normal
139,89,91,normal
179,176,131,normal
101,101,47,normal
224,222,222,normal
161,158,113,normal
97,107,161,anomaly
56,59,20,normal
130,133,77,normal
68,54,212,normal
136,142,93,normal
114,117,55,normal
53,53,17,normal
174,174,128,normal
3,4,0,normal
134,137,91,normal
179,176,132,normal
45,97,150,anomaly
179,178,134,normal
164,162,114,normal
136,163,219,anomaly
93,137,201,anomaly
106,209,204,normal
172,170,122,normal
66,67,23,normal
169,170,126,normal
126,169,220,anomaly
128,131,86,normal
149,146,91,normal
21,20,0,normal
185,183,135,normal
85,87,41,normal
149,166,217,anomaly
47,23,195,normal
194,77,46,normal
12,9,5,normal
84,84,36,normal
157,155,101,normal
51,53,17,normal
4,1,3,normal
22,22,0,normal
76,52,208,normal
93,68,232,normal
255,215,221,normal
26,47,32,normal
0,255,255,normal
59,61,19,normal
139,174,217,anomaly
163,163,109,normal
237,224,216,normal
71,30,242,normal
42,91,141,anomaly
178,177,127,normal
92,189,185,normal
54,55,16,normal
201,200,162,normal
143,146,97,normal
62,63,47,normal
33,34,8,normal
136,139,90,normal
181,178,134,normal
39,42,10,normal
57,118,174,anomaly
108,101,104,normal
158,161,122,normal
168,201,255,anomaly
141,140,89,normal
83,201,182,normal
186,186,140,normal
93,68,248,normal
192,192,152,normal
62,64,22,normal
177,174,130,normal
79,118,193,anomaly
139,162,230,anomaly
164,162,114,normal
191,190,146,normal
56,103,155,anomaly
153,151,103,normal
55,59,18,normal
180,177,132,normal
180,178,130,normal
173,173,119,normal
31,32,6,normal
165,165,117,normal
165,160,121,normal
15,13,3,normal
187,187,141,normal
35,81,59,normal
163,163,115,normal
114,159,210,anomaly
184,181,136,normal
12,13,9,normal
23,19,18,normal
131,170,222,anomaly
51,68,131,anomaly
150,150,102,normal
177,176,132,normal
159,162,123,normal
62,126,191,anomaly
61,122,184,anomaly
6,6,0,normal
54,55,21,normal
168,166,112,normal
50,50,36,normal
185,185,145,normal
15,14,0,normal
142,145,96,normal
172,188,241,anomaly
147,183,231,anomaly
0,0,4,normal
172,168,120,normal
144,156,220,anomaly
119,118,60,normal
164,163,112,normal
186,184,144,normal
150,186,255,anomaly
68,64,23,normal
206,205,171,normal
140,143,97,normal
180,179,135,normal
160,159,109,normal
160,164,129,normal
31,32,6,normal
254,249,188,normal
164,162,114,normal
132,168,222,anomaly
104,107,62,normal
84,126,179,anomaly
166,164,110,normal
20,19,5,normal
178,175,130,normal
107,156,226,anomaly
198,198,158,normal
156,198,145,normal
52,53,19,normal
60,59,38,normal
176,171,126,normal
105,108,59,normal
118,155,213,anomaly
193,193,153,normal
244,248,249,normal
130,131,92,normal
68,69,25,normal
180,180,120,normal
168,155,141,normal
30,30,6,normal
42,93,149,anomaly
98,97,46,normal
96,97,41,normal
135,140,89,normal
175,173,125,normal
168,167,116,normal
176,175,131,normal
147,145,87,normal
156,173,216,anomaly
72,75,29,normal
0,3,0,normal
186,186,146,normal
141,110,87,normal
204,80,62,normal
44,57,35,normal
147,153,212,normal
57,35,17,normal
183,182,138,normal
97,143,220,anomaly
157,162,123,normal
50,48,17,normal
4,2,1,normal
90,88,34,normal
199,139,200,normal
103,96,157,normal
163,161,107,normal
180,177,133,normal
68,120,173,anomaly
128,159,228,anomaly
84,60,40,normal
199,197,162,normal
198,194,159,normal
197,195,160,normal
54,55,21,normal
130,170,223,anomaly
61,65,24,normal
10,9,11,normal
155,157,111,normal
182,179,135,normal
202,201,163,normal
190,188,148,normal
128,159,228,anomaly
178,175,131,normal
178,176,128,normal
154,194,255,anomaly
157,161,126,normal
141,145,96,normal
136,167,218,anomaly
183,179,138,normal
179,176,131,normal
199,197,162,normal
166,165,114,normal
75,82,125,anomaly
59,94,144,anomaly
99,137,195,anomaly
2,0,178,normal
168,166,118,normal
148,150,98,normal
156,159,109,normal
182,183,141,normal
109,212,207,normal
132,174,221,anomaly
83,100,151,anomaly
200,201,169,normal
233,243,250,normal
148,152,116,normal
178,194,237,anomaly
142,141,85,normal
176,192,238,anomaly
47,91,138,anomaly
138,141,96,normal
175,173,125,normal
199,197,163,normal
50,50,10,normal
138,139,89,normal
157,161,125,normal
166,162,114,normal
170,166,118,normal
184,172,124,normal
29,60,29,normal
166,165,115,normal
167,163,114,normal
130,133,84,normal
202,201,163,normal
166,182,99,normal
139,179,244,anomaly
176,146,99,normal
125,160,224,anomaly
112,213,211,normal
65,66,50,normal
157,161,125,normal
101,100,42,normal
77,116,185,anomaly
151,154,105,normal
179,176,131,normal
143,140,89,normal
52,90,138,anomaly
143,142,86,normal
138,140,88,normal
176,174,126,normal
171,170,120,normal
128,154,224,anomaly
133,20,134,normal
48,50,31,normal
145,143,89,normal
63,67,25,normal
55,112,173,anomaly
53,54,20,normal
137,135,81,normal
224,69,48,normal
128,129,95,normal
90,28,18,normal
158,161,116,normal
122,159,217,anomaly
130,128,74,normal
186,93,122,normal
5,151,187,normal
185,107,171,normal
192,193,149,normal
176,174,126,normal
198,124,68,normal
122,121,63,normal
28,24,6,normal
47,101,154,anomaly
52,53,13,normal
167,164,113,normal
79,82,33,normal
48,49,17,normal
126,131,92,normal
142,141,85,normal
188,186,146,normal
129,153,219,anomaly
92,139,223,anomaly
154,156,110,normal
35,0,140,normal
5,3,2,normal
180,177,132,normal
108,109,53,normal
58,123,192,anomaly
0,119,252,normal
182,179,134,normal
187,181,138,normal
68,69,25,normal
53,56,24,normal
69,73,32,normal
255,0,128,normal
55,56,22,normal
179,177,129,normal
34,33,5,normal
121,120,62,normal
52,164,86,normal
106,209,204,normal
249,124,104,normal
13,23,7,normal
53,54,20,normal
144,146,94,normal
183,181,133,normal
57,49,234,normal
121,120,62,normal
152,153,97,normal
76,77,33,normal
146,172,238,anomaly
180,177,133,normal
160,163,124,normal
155,193,255,anomaly
146,144,86,normal
241,228,214,normal
177,176,126,normal
153,188,251,anomaly
164,160,112,normal
201,200,162,normal
181,178,133,normal
177,174,129,normal
69,71,25,normal
137,135,81,normal
37,38,4,normal
185,182,137,normal
181,178,134,normal
72,73,29,normal
159,161,125,normal
175,173,125,normal
64,63,19,normal
178,176,128,normal
141,144,99,normal
181,179,131,normal
193,191,151,normal
34,87,144,anomaly
157,161,126,normal
76,79,30,normal
59,117,176,anomaly
173,171,123,normal
49,104,155,anomaly
145,145,97,normal
103,150,224,anomaly
26,20,9,normal
134,134,188,anomaly
185,183,143,normal
4,3,0,normal
198,196,161,normal
180,177,132,normal
103,197,210,normal
178,175,130,normal
153,157,116,normal
59,123,188,anomaly
162,165,126,normal
117,119,173,anomaly
53,60,17,normal
92,27,18,normal
145,150,121,normal
139,138,80,normal
141,139,85,normal
199,197,162,normal
179,173,130,normal
155,158,119,normal
74,83,126,anomaly
60,54,13,normal
180,180,134,normal
89,97,150,anomaly
12,8,187,normal
182,179,134,normal
122,81,179,normal
19,16,1,normal
59,109,162,anomaly
97,30,15,normal
53,54,20,normal
69,71,25,normal
180,178,130,normal
178,175,131,normal
54,58,23,normal
132,135,86,normal
70,116,180,anomaly
173,172,122,normal
143,155,219,anomaly
153,169,216,anomaly
180,177,132,normal
95,141,219,anomaly
169,185,228,anomaly
157,194,254,anomaly
70,68,27,normal
176,176,128,normal
103,109,56,normal
201,199,164,normal
16,7,188,normal
202,201,163,normal
125,169,222,anomaly
71,78,35,normal
144,188,252,anomaly
150,153,104,normal
105,206,204,normal
84,84,30,normal
121,157,227,anomaly
230,129,155,normal
170,170,158,normal
98,145,219,anomaly
107,143,213,anomaly
5,3,3,normal
136,139,89,normal
172,186,239,anomaly
159,162,123,normal
178,172,127,normal
195,193,152,normal
135,138,93,normal
130,136,95,normal
121,122,88,normal
140,140,86,normal
38,40,10,normal
173,172,122,normal
188,185,147,normal
127,130,80,normal
134,179,236,normal
146,187,250,anomaly
157,161,126,normal
205,204,170,normal
169,165,116,normal
165,161,113,normal
167,163,115,normal
129,164,220,anomaly
49,48,10,normal
122,121,63,normal
161,177,224,anomaly
130,168,216,anomaly
162,161,111,normal
131,167,221,anomaly
151,150,106,normal
177,174,130,normal
133,133,97,normal
200,209,253,anomaly
3,0,164,normal
180,180,134,normal
32,33,7,normal
80,83,34,normal
161,159,119,normal
138,141,92,normal
185,184,140,normal
153,190,255,anomaly
153,194,255,anomaly
19,18,0,normal
69,71,25,normal
41,42,10,normal
74,74,44,normal
23,14,158,normal
159,162,123,normal
25,26,6,normal
23,202,247,normal
175,173,125,normal
20,17,2,normal
145,165,230,anomaly
155,195,254,anomaly
4,0,72,normal
137,139,87,normal
139,179,227,anomaly
118,118,64,normal
0,0,255,normal
97,139,206,anomaly
59,121,191,anomaly
143,143,89,normal
178,176,128,normal
178,176,128,normal
7,6,169,normal
205,204,170,normal
108,107,51,normal
153,190,246,anomaly
198,210,252,anomaly
55,97,144,anomaly
154,158,106,normal
99,142,199,anomaly
110,154,207,anomaly
182,182,134,normal
137,140,91,normal
184,181,136,normal
171,187,240,anomaly
59,60,20,normal
97,99,77,normal
120,123,73,normal
54,98,145,anomaly
200,198,163,normal
59,104,161,anomaly
185,182,137,normal
34,35,33,normal
64,65,21,normal
187,184,139,normal
131,134,88,normal
186,187,143,normal
83,134,196,anomaly
28,52,142,normal
136,139,90,normal
246,251,250,normal
175,178,128,normal
199,197,163,normal
110,212,207,normal
53,53,17,normal
97,90,151,normal
193,192,154,normal
78,114,252,normal
182,179,135,normal
204,204,168,normal
32,33,7,normal
208,217,255,anomaly
62,80,127,anomaly
65,65,19,normal
143,140,89,normal
121,158,108,normal
199,211,251,anomaly
162,160,112,normal
201,200,162,normal
157,157,171,normal
168,182,235,anomaly
196,194,159,normal
122,155,211,anomaly
111,153,220,anomaly
157,161,126,normal
21,15,2,normal
173,173,127,normal
179,177,129,normal
169,184,230,anomaly
178,176,128,normal
62,66,25,normal
45,89,136,anomaly
176,174,126,normal
181,180,130,normal
173,172,122,normal
23,23,7,normal
173,169,121,normal
99,94,155,normal
56,91,135,anomaly
149,186,254,anomaly
149,153,112,normal
255,128,0,normal
192,191,153,normal
255,140,105,normal
50,47,240,normal
173,171,123,normal
202,201,163,normal
5,5,0,normal
182,180,132,normal
0,0,0,normal
53,53,17,normal
82,124,177,anomaly
140,139,88,normal
177,194,233,anomaly
61,108,159,anomaly
0,255,255,normal
61,65,24,normal
0,180,1,normal
168,182,235,anomaly
54,58,23,normal
43,94,156,anomaly
107,130,192,anomaly
54,102,150,anomaly
178,177,133,normal
236,112,94,normal
104,107,58,normal
216,220,225,normal
97,98,48,normal
199,197,162,normal
165,161,112,normal
158,178,233,anomaly
161,165,130,normal
136,128,252,normal
198,198,158,normal
165,165,117,normal
119,171,231,anomaly
199,197,162,normal
2,0,0,normal
144,145,95,normal
144,142,88,normal
151,154,105,normal
41,44,12,normal
74,76,34,normal
176,174,126,normal
158,162,120,normal
67,129,199,anomaly
45,110,255,normal
78,95,255,normal
112,116,169,anomaly
73,47,207,normal
53,112,104,normal
176,174,126,normal
4,4,0,normal
152,155,105,normal
179,177,129,normal
156,193,255,anomaly
91,122,191,anomaly
92,90,50,normal
198,198,204,normal
179,173,128,normal
38,85,146,anomaly
163,162,112,normal
215,217,218,normal
174,197,245,anomaly
191,189,149,normal
102,118,231,normal
53,57,22,normal
53,53,17,normal
206,205,171,normal
255,255,128,normal
66,67,23,normal
177,175,127,normal
139,158,19,normal
199,197,163,normal
73,76,27,normal
62,59,14,normal
170,169,119,normal
197,196,162,normal
53,54,20,normal
50,52,16,normal
101,153,224,anomaly
58,59,19,normal
159,161,172,normal
131,135,99,normal
0,0,0,normal
76,79,30,normal
189,192,196,normal
92,130,194,anomaly
140,172,221,anomaly
35,34,8,normal
163,164,114,normal
65,108,159,anomaly
201,199,164,normal
1,1,1,normal
201,196,163,normal
97,103,156,anomaly
5,3,3,normal
199,197,162,normal
118,150,209,anomaly
178,176,128,normal
201,200,162,normal
75,78,29,normal
204,202,168,normal
150,190,255,anomaly
0,255,255,normal
98,147,223,anomaly
44,44,8,normal
120,126,133,normal
151,171,226,anomaly
178,178,132,normal
179,176,132,normal
181,178,133,normal
19,16,1,normal
140,97,76,normal
165,164,114,normal
178,176,128,normal
172,186,239,anomaly
168,165,114,normal
114,130,197,anomaly
144,143,87,normal
196,194,154,normal
53,56,24,normal
200,198,163,normal
123,148,220,anomaly
130,171,220,anomaly
0,46,99,normal
35,37,7,normal
50,49,15,normal
0,255,255,normal
100,95,156,normal
43,44,10,normal
128,130,84,normal
82,84,32,normal
54,55,21,normal
101,94,155,normal
163,160,109,normal
195,193,152,normal
160,159,155,normal
145,144,93,normal
102,130,190,anomaly
58,112,173,anomaly
7,5,0,normal
162,160,112,normal
181,181,133,normal
38,97,147,anomaly
200,198,163,normal
165,78,128,normal
32,33,7,normal
165,177,231,anomaly
101,149,221,anomaly
122,159,221,anomaly
249,251,252,normal
164,163,113,normal
209,157,205,normal
146,188,255,anomaly
182,176,131,normal
78,81,32,normal
44,43,237,normal
182,178,137,normal
116,158,225,anomaly
164,162,108,normal
160,166,131,normal
28,25,10,normal
226,210,204,normal
165,92,165,normal
95,137,214,anomaly
239,228,224,normal
237,200,162,normal
194,195,153,normal
45,106,150,anomaly
81,92,130,anomaly
62,62,22,normal
111,155,219,anomaly
151,189,253,anomaly
117,118,62,normal
17,16,2,normal
193,191,160,normal
123,161,215,anomaly
85,181,241,normal
79,99,146,anomaly
144,142,88,normal
150,149,98,normal
172,172,126,normal
143,145,93,normal
182,179,135,normal
121,158,214,anomaly
108,108,90,normal
67,122,179,anomaly
61,62,22,normal
170,167,136,normal
117,116,58,normal
179,176,132,normal
203,202,168,normal
52,57,18,normal
54,58,23,normal
141,163,21,normal
50,54,13,normal
51,53,17,normal
130,79,93,normal
181,178,134,normal
51,112,178,anomaly
132,133,83,normal
85,94,132,anomaly
214,226,232,normal
171,169,121,normal
123,149,216,anomaly
116,152,216,anomaly
149,149,95,normal
1,129,0,normal
175,173,125,normal
50,49,15,normal
178,175,131,normal
178,179,137,normal
201,200,162,normal
199,197,163,normal
55,59,24,normal
16,12,1,normal
183,180,136,normal
109,114,59,normal
82,63,132,normal
170,168,120,normal
195,193,152,normal
194,193,155,normal
180,177,132,normal
5,4,0,normal
167,164,113,normal
169,172,123,normal
172,164,117,normal
25,19,20,normal
255,255,255,normal
199,197,162,normal
89,137,215,anomaly
108,114,167,anomaly
143,78,103,normal
29,28,18,normal
199,197,163,normal
163,162,112,normal
36,90,145,anomaly
110,113,64,normal
182,177,138,normal
146,148,96,normal
34,33,7,normal
173,172,121,normal
121,124,179,anomaly
177,174,129,normal
81,49,208,normal
136,139,90,normal
155,167,233,anomaly
78,95,146,anomaly
106,90,107,normal
247,127,92,normal
129,167,221,anomaly
174,169,124,normal
173,172,122,normal
179,176,131,normal
115,117,171,anomaly
93,97,148,anomaly
119,118,60,normal
175,173,125,normal
176,177,143,normal
127,131,189,anomaly
156,157,113,normal
8,10,10,normal
161,165,130,normal
138,139,89,normal
174,174,128,normal
0,255,255,normal
207,216,253,anomaly
148,190,255,anomaly
124,156,221,anomaly
86,88,36,normal
55,57,15,normal
104,206,201,normal
175,175,129,normal
59,63,27,normal
158,157,106,normal
182,179,135,normal
119,118,60,normal
45,97,143,anomaly
179,176,131,normal
186,87,125,normal
162,165,120,normal
163,135,34,normal
183,180,136,normal
157,160,115,normal
63,68,23,normal
58,79,47,normal
183,179,138,normal
178,175,131,normal
45,110,255,normal
83,16,137,normal
48,44,239,normal
208,219,255,anomaly
151,152,102,normal
161,161,121,normal
110,141,186,anomaly
111,145,205,anomaly
74,80,33,normal
